rowId,parentRowRef,parentTeamName,parentTeamId,name,visibility,callsignPrefix,color,canJoin
org1,,,,Fire and Emergency New Zealand,public,FENZ,Red,true
r1,org1,,,Te Hiku,public,TEHI,,
d1,r1,,,Northland,public,NORT,,
,d1,,,Ahipara,public,AHIP,,
,d1,,,Broadwood,public,BROA,,
,d1,,,Cavalli,public,CAVA,,
,d1,,,Hihi,public,HIHI,,
,d1,,,Houhora,public,HOUH,,
,d1,,,Kaeo,public,KAEO,,
,d1,,,Kaitaia,public,KAIT,,
,d1,,,Karikari,public,KARI,,
,d1,,,Kohukohu,public,KOHU,,
,d1,,,Mangonui,public,MANG,,
,d1,,,Rangiputa,public,RANG,,
,d1,,,Taupo Bay,public,TAUP,,
,d1,,,Kaikohe (RFF),public,KAIK,,
,d1,,,Kaikohe (VFB),public,KAI,,
,d1,,,Kawakawa,public,KAWA,,
,d1,,,Kerikeri,public,KERI,,
,d1,,,Okaihau,public,OKAI,,
,d1,,,Omapere,public,OMAP,,
,d1,,,Paihia,public,PAIH,,
,d1,,,Rawene,public,RAWE,,
,d1,,,Rawhiti,public,RAWH,,
,d1,,,Russell,public,RUSS,,
,d1,,,Hikurangi,public,HIKU,,
,d1,,,Kamo,public,KAMO,,
,d1,,,Ngunguru,public,NGUN,,
,d1,,,Onerahi,public,ONER,,
,d1,,,Portland,public,PORT,,
,d1,,,Towai,public,TOWA,,
,d1,,,Whananaki,public,WHAN,,
,d1,,,Whangarei Heads,public,WHA,,
,d1,,,Whangarei Kaipara Operational Support Unit,public,WKOS,,
,d1,,,Whangarei,public,WHA2,,
,d1,,,Dargaville,public,DARG,,
,d1,,,Kaiwaka,public,KAIW,,
,d1,,,Mangawhai,public,MAN,,
,d1,,,Maungakaramea,public,MAUN,,
,d1,,,Maungaturoto,public,MAU,,
,d1,,,Paparoa,public,PAPA,,
,d1,,,Ruakaka,public,RUAK,,
,d1,,,Ruawai,public,RUAW,,
,d1,,,Te Kopuru,public,TEKO,,
,d1,,,Tinopai,public,TINO,,
,d1,,,Waipu,public,WAIP,,
d2,r1,,,Waitemata,public,WAIT,,
,d2,,,Ahuroa,public,AHUR,,
,d2,,,Kawau Island,public,KAWA,,
,d2,,,Leigh,public,LEIG,,
,d2,,,Mahurangi East,public,MAHU,,
,d2,,,Matakana,public,MATA,,
,d2,,,Puhoi,public,PUHO,,
,d2,,,Warkworth,public,WARK,,
,d2,,,Wellsford,public,WELL,,
,d2,,,Albany,public,ALBA,,
,d2,,,East Coast Bays,public,EAST,,
,d2,,,Greenhithe,public,GREE,,
,d2,,,Manly,public,MANL,,
,d2,,,Silverdale,public,SILV,,
,d2,,,West Harbour,public,WEST,,
,d2,,,Birkenhead,public,BIRK,,
,d2,,,Devonport,public,DEVO,,
,d2,,,Takapuna,public,TAKA,,
,d2,,,Bethells Valley,public,BETH,,
,d2,,,Helensville,public,HELE,,
,d2,,,Karekare,public,KARE,,
,d2,,,Kaukapakapa,public,KAUK,,
,d2,,,Kumeu,public,KUME,,
,d2,,,Muriwai,public,MURI,,
,d2,,,Piha,public,PIHA,,
,d2,,,Shelly Beach,public,SHEL,,
,d2,,,Waiatarua,public,WAIA,,
,d2,,,Waitakere,public,WAIT,,
,d2,,,Glen Eden,public,GLEN,,
,d2,,,Henderson,public,HEND,,
,d2,,,Huia,public,HUIA,,
,d2,,,Laingholm,public,LAIN,,
,d2,,,Te Atatu,public,TEAT,,
,d2,,,Titirangi,public,TITI,,
d3,r1,,,Auckland,public,AUCK,,
,d3,,,Auckland Operational Support,public,AUCK,,
,d3,,,Auckland City,public,AUC,,
,d3,,,Parnell,public,PARN,,
,d3,,,Mount Wellington,public,MOUN,,
,d3,,,Remuera,public,REMU,,
,d3,,,St Heliers,public,STHE,,
,d3,,,Avondale,public,AVON,,
,d3,,,Balmoral,public,BALM,,
,d3,,,Grey Lynn,public,GREY,,
,d3,,,Ellerslie,public,ELLE,,
,d3,,,Mount Roskill,public,MOU,,
,d3,,,Onehunga,public,ONEH,,
d4,r1,,,Counties Manukau,public,COUN,,
,d4,,,Beachlands,public,BEAC,,
,d4,,,Howick,public,HOWI,,
,d4,,,Oneroa,public,ONER,,
,d4,,,Onetangi,public,ONET,,
,d4,,,Otahuhu,public,OTAH,,
,d4,,,Clevedon,public,CLEV,,
,d4,,,Kawakawa Bay,public,KAWA,,
,d4,,,Orere Point,public,ORER,,
,d4,,,Otara,public,OTAR,,
,d4,,,Kaitoke,public,KAIT,,
,d4,,,Mangere,public,MANG,,
,d4,,,Okiwi,public,OKIW,,
,d4,,,Papatoetoe,public,PAPA,,
,d4,,,Tryphena,public,TRYP,,
,d4,,,Awhitu,public,AWHI,,
,d4,,,Onewhero,public,ONEW,,
,d4,,,Patumahoe,public,PATU,,
,d4,,,Port Waikato,public,PORT,,
,d4,,,Pukekohe,public,PUKE,,
,d4,,,Tuakau,public,TUAK,,
,d4,,,Waiau Pa,public,WAIA,,
,d4,,,Waiuku,public,WAIU,,
,d4,,,Hunua,public,HUNU,,
,d4,,,Kaiaua,public,KAIA,,
,d4,,,Mangatangi,public,MAN,,
,d4,,,Manurewa,public,MANU,,
,d4,,,Papakura,public,PAP,,
,d4,,,Pokeno,public,POKE,,
r2,org1,,,Ngā Tai ki te Puku,public,NGAT,,
d5,r2,,,Waikato,public,WAIK,,
,d5,,,Benneydale,public,BENN,,
,d5,,,Kawhia,public,KAWH,,
,d5,,,Otorohanga,public,OTOR,,
,d5,,,Piopio,public,PIOP,,
,d5,,,Pirongia,public,PIRO,,
,d5,,,Tainui Mokau,public,TAIN,,
,d5,,,Te Awamutu,public,TEAW,,
,d5,,,Te Kuiti,public,TEKU,,
,d5,,,Cooks Beach,public,COOK,,
,d5,,,Hahei,public,HAHE,,
,d5,,,Kuaotunu,public,KUAO,,
,d5,,,Matarangi,public,MATA,,
,d5,,,Onemana-Opoutere,public,ONEM,,
,d5,,,Pauanui,public,PAUA,,
,d5,,,Tairua,public,TAIR,,
,d5,,,Whangamata,public,WHAN,,
,d5,,,Whiritoa,public,WHIR,,
,d5,,,Whitianga,public,WHIT,,
,d5,,,Chartwell,public,CHAR,,
,d5,,,Hamilton (Stn),public,HAMI,,
,d5,,,Hamilton (VFB),public,HAM,,
